BBG000H8R0N8|RexnordCorp
BBG0082W8Q12|GCPAppliedTechnologiesInc
BBG000BP0HX7|SupernusPharmaceuticalsInc
BBG000BC2C10|Apache
BBG000BWFH48|HeskaCorp
BBG000CZ8W54|HalozymeTherapeuticsInc
BBG000BMHYD1|Johnson&Johnson
BBG000BX5YM0|HuanengPowerInternational
BBG000MM2P62|Facebook
BBG000BWNFZ9|WesternDigital
BBG00JH9TZ56|ChampionXCorporation
BBG00RP5HYS8|CarrierGlobal
BBG00212PVZ5|PureStorageInc
BBG00JM7QBR6|PagseguroDigitalLtd
BBG000BV0VK7|Telephone&DataSystemsInc
BBG001KHJM17|Five9Inc
BBG000BHR1H9|SinopecShanghaiPetrochemical
BBG000BRJ809|PPGIndustries
BBG000BK5DP1|TEGNA
BBG000BT5PG5|ScottsMiracle-GroCoThe
BBG000BS7KS3|MolsonCoorsBrewing
BBG000BHCP19|MicrochipTechnology
BBG000BQZMH4|PublicServiceEnterpriseGroup
BBG000BMY992|Kroger
BBG0058KMH30|Hilton
BBG000DM2BF3|SleepNumberCorp
BBG000BJBZ23|MarketAxessHoldingsInc
BBG000B9Z0J8|Prologis
BBG000PWTD92|EnerSys
BBG000BGYMH7|MartinMariettaMaterials
BBG000BV8DN6|TJX
BBG000BTQR96|StanleyBlack&Decker
BBG000BQLM34|GenthermInc
BBG00BN96922|DowInc
BBG008NVB1C0|MonsterBeverage
BBG000RYC984|Anheuser-BuschInBev
BBG000BBDV81|CognizantTechnologySolutions
BBG000R2YFG7|BoozAllenHamilton
BBG001K003W2|BandwidthInc
BBG000BND699|NXPSemiconductorsNV
BBG000CWL0F5|ExactSciencesCorp
BBG000BKLH74|Gap
BBG000PVGDH9|TataMotors
BBG000C1FQS9|EntergyCorporation
BBG000DNF659|FirstCash
BBG000L4M7F1|ResMedInc
BBG0019GM953|JELD-WENHoldingInc
BBG000HG21Y3|NuSkinEnterprisesInc
BBG00FZYFVC5|DelekUSHoldingsInc
BBG009PH3Q86|FerrariN.V.
BBG000BY29C7|Tapestry
BBG000BKPL53|ZimmerBiometHoldings
BBG000CN5CJ3|RealPageInc
